                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     97,                 1.3167,                0.91428,                 1.3388,                0.90457,                0.71878,                0.77329,                0.43811,                 1.6015,                0.99659,                 1.6636,               0.000854,               0.000854,               0.000854
                     98,                 1.3237,                0.91094,                 1.3291,                0.86327,                  0.766,                0.81274,                0.47183,                 1.5388,                 0.9111,                 1.5957,             0.00084988,             0.00084988,             0.00084988
                     99,                 1.3148,                0.93661,                 1.3173,                0.86601,                0.75524,                0.80315,                0.43857,                 1.5834,                0.98203,                 1.6616,             0.00084575,             0.00084575,             0.00084575
                    100,                 1.3002,                0.87697,                 1.3227,                 0.8216,                0.76806,                0.80059,                0.45738,                 1.5584,                0.93592,                 1.6213,             0.00084162,             0.00084162,             0.00084162
                    101,                 1.3202,                0.95627,                 1.3266,                0.84163,                0.78329,                0.79909,                0.46917,                 1.5155,                0.93978,                 1.6183,              0.0008375,              0.0008375,              0.0008375
                    102,                 1.3039,                0.91963,                 1.3326,                0.90316,                0.71437,                0.79727,                0.44907,                 1.5446,                0.98045,                 1.6119,             0.00083337,             0.00083337,             0.00083337
                    103,                 1.2556,                0.88115,                 1.3222,                0.89714,                0.76844,                0.80626,                0.45275,                 1.5461,                0.95496,                 1.6145,             0.00082925,             0.00082925,             0.00082925
                    104,                 1.2566,                0.87978,                  1.286,                0.81253,                0.75874,                0.81142,                0.47279,                 1.5169,                0.90387,                 1.5899,             0.00082513,             0.00082513,             0.00082513
                    105,                 1.3054,                0.89956,                 1.3247,                0.83477,                0.64973,                0.75743,                0.42555,                  1.581,                0.99789,                 1.6334,               0.000821,               0.000821,               0.000821
                    106,                 1.2907,                0.90555,                 1.3142,                0.89058,                0.73033,                0.79889,                0.45184,                 1.6037,                0.94578,                 1.6835,             0.00081688,             0.00081688,             0.00081688
                    107,                 1.2887,                0.94122,                 1.3276,                0.85373,                0.73766,                0.80029,                0.44835,                 1.5786,                 0.9529,                 1.6194,             0.00081275,             0.00081275,             0.00081275
                    108,                 1.2449,                0.85339,                 1.2878,                0.92183,                0.74833,                0.81336,                0.45939,                 1.5984,                0.94894,                 1.6444,             0.00080863,             0.00080863,             0.00080863
                    109,                 1.2556,                 0.8535,                 1.2888,                0.90403,                0.74681,                0.81368,                0.47307,                  1.553,                0.89241,                 1.6333,              0.0008045,              0.0008045,              0.0008045
                    110,                 1.2604,                0.85676,                 1.2885,                 0.8547,                 0.7721,                0.80669,                0.49115,                 1.4839,                0.84674,                 1.5865,             0.00080038,             0.00080038,             0.00080038
                    111,                 1.2249,                0.85613,                 1.3014,                 0.9126,                0.74939,                0.80384,                0.47902,                 1.5055,                0.92695,                 1.5996,             0.00079625,             0.00079625,             0.00079625
                    112,                 1.2415,                0.82906,                  1.284,                0.82197,                0.73734,                0.79239,                 0.4592,                 1.5748,                0.96625,                 1.6253,             0.00079213,             0.00079213,             0.00079213
                    113,                 1.2463,                0.84397,                 1.2664,                0.87856,                0.74816,                0.78837,                0.46824,                 1.5422,                0.95753,                 1.6083,               0.000788,               0.000788,               0.000788
